"date","time","temp","pH","ORP","cond","depth","turb","HDO","HDO_sat","BP","battery","TDS","pH_mV","date_time","transect_ID","SourceFile.x","SourceFile.y","time_diff_sec","meters_per_sec","date_time_start","date_time_end","direction_fish","seconds_moved","meters_moved"
"12-Feb-2025","09:39:00",26.34,7.01,394.6,131.1,0.82,13.75,3.85,58,631.2,7.19,83.9,14.8,2025-02-12 09:39:00,"pap_1","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_093835.jpg","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_094636.jpg",481,1.03950103950104,2025-02-12 09:38:35,"12-Feb-2025 09:46:36","from coast",25,25.987525987526
"12-Feb-2025","09:40:00",26.39,7.11,390.7,131.6,0.86,13.05,3.92,59.1,631.2,7.19,84.2,9.5,2025-02-12 09:40:00,"pap_1","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_093835.jpg","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_094636.jpg",481,1.03950103950104,2025-02-12 09:38:35,"12-Feb-2025 09:46:36","from coast",85,88.3575883575884
"12-Feb-2025","09:41:00",26.44,7.47,382,126.8,0.77,8.16,5.59,84.3,631.2,6.72,81.1,-9.9,2025-02-12 09:41:00,"pap_1","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_093835.jpg","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_094636.jpg",481,1.03950103950104,2025-02-12 09:38:35,"12-Feb-2025 09:46:36","from coast",145,150.727650727651
"12-Feb-2025","09:42:00",26.49,7.63,374.6,123.5,0.57,7.4,5.9,89,631.2,7.07,79,-18.2,2025-02-12 09:42:00,"pap_1","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_093835.jpg","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_094636.jpg",481,1.03950103950104,2025-02-12 09:38:35,"12-Feb-2025 09:46:36","from coast",205,213.097713097713
"12-Feb-2025","09:43:00",26.53,7.76,363.2,120.7,0.57,7.69,6.19,93.5,631.2,6.76,77.2,-25.1,2025-02-12 09:43:00,"pap_1","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_093835.jpg","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_094636.jpg",481,1.03950103950104,2025-02-12 09:38:35,"12-Feb-2025 09:46:36","from coast",265,275.467775467775
"12-Feb-2025","09:44:00",26.55,7.7,355.6,120.2,0.68,7.17,6.22,93.9,631.2,6.79,76.9,-22.1,2025-02-12 09:44:00,"pap_1","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_093835.jpg","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_094636.jpg",481,1.03950103950104,2025-02-12 09:38:35,"12-Feb-2025 09:46:36","from coast",325,337.837837837838
"12-Feb-2025","09:45:00",26.53,7.68,348.8,120,0.67,7.92,6.13,92.6,631.2,6.87,76.8,-20.6,2025-02-12 09:45:00,"pap_1","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_093835.jpg","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_094636.jpg",481,1.03950103950104,2025-02-12 09:38:35,"12-Feb-2025 09:46:36","from coast",385,400.2079002079
"12-Feb-2025","09:46:00",26.52,7.64,344,119.3,0.71,6.88,6.03,91.1,631.2,6.54,76.3,-18.5,2025-02-12 09:46:00,"pap_1","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_093835.jpg","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_094636.jpg",481,1.03950103950104,2025-02-12 09:38:35,"12-Feb-2025 09:46:36","from coast",445,462.577962577963
"12-Feb-2025","10:04:00",26.79,7.38,363.1,128.5,0.93,9.78,5.32,80.7,631.2,7.01,82.2,-4.9,2025-02-12 10:04:00,"pap_2","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_100348.jpg","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_101121.jpg",453,1.1037527593819,2025-02-12 10:03:48,"12-Feb-2025 10:11:21","from coast",12,13.2450331125828
"12-Feb-2025","10:05:00",26.76,7.79,352.4,125.4,0.75,9.89,5.33,80.8,631.2,7.04,80.3,-26.5,2025-02-12 10:05:00,"pap_2","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_100348.jpg","/Users/joycevriesema/Library/CloudStorage/GoogleDrive-j.vriesema.1@student.rug.nl/.shortcut-targets-by-id/1siXV0T2vKuXT_W5l-u1rm5aMLGcwJOad/2025_LakeFishBirdTransects_SLVC/Fish Videos and Water Photos/SLVC_12FEB2025/Sorted Videos and Photos/20250212_101121.jpg",453,1.1037527593819,2025-02-12 10:03:48,"12-Feb-2025 10:11:21","from coast",72,79.4701986754967
